year,site_name,times_exceeded,percent_exceeded,latitude,longitude,river_name
2007,Indian 1,8,0.4,41.11643,-73.37585,Indian River
2007,Indian 3,7,0.35,41.12117,-73.37998,Indian River
2007,Poplar 2,7,0.2916666666666667,41.16205,-73.37512,Saugatuck River
2007,SG1,2,0.07692307692307693,41.162278,-73.368167,Saugatuck River
2007,Saugatuck 1,11,0.34375,41.16748,-73.36647,Saugatuck River
2007,Saugatuck 2,5,0.25,41.17553,-73.36193,Saugatuck River
2007,West Saug 1,7,0.35,41.17809,-73.37404,Saugatuck River
2008,Indian 1,10,0.5,41.11643,-73.37585,Indian River
2008,Indian 3,5,0.25,41.12117,-73.37998,Indian River
2008,Lamplight 1,9,0.4090909090909091,41.11826,-73.34596,Pussy Willow Brook
2008,Muddy 1,7,0.5,41.12735,-73.329580000000007,Muddy Brook
2008,Muddy 3,9,0.5,41.13857,-73.32546,Muddy Brook
2008,Muddy 4,10,0.5,41.14107,-73.32172,Muddy Brook
2008,Muddy 6,8,0.4444444444444444,41.16444,-73.32521,Muddy Brook
2008,Poplar 2,10,0.29411764705882354,41.16205,-73.37512,Saugatuck River
2008,SG1,1,0.029411764705882353,41.162278,-73.368167,Saugatuck River
2008,Saugatuck 1,4,0.1111111111111111,41.16748,-73.36647,Saugatuck River
2008,Saugatuck 2,4,0.2,41.17553,-73.36193,Saugatuck River
2008,West Saug 1,4,0.2,41.17809,-73.37404,Saugatuck River
2009,Lamplight 1,1,0.25,41.11826,-73.34596,Pussy Willow Brook
2009,Muddy 6,1,0.5,41.16444,-73.32521,Muddy Brook
2009,Poplar 1.5,8,0.36363636363636365,41.162424,-73.37263,Saugatuck River
2009,Poplar 2,3,0.13636363636363635,41.16205,-73.37512,Saugatuck River
2009,Poplar 3,3,0.125,41.15937,-73.3791,Saugatuck River
2009,Poplar 4,5,0.22727272727272727,41.15946,-73.38549,Saugatuck River
2009,Pussy Willow 1,2,0.1,41.1234,-73.34916,Pussy Willow Brook
2009,Pussy Willow 2,2,0.1111111111111111,41.126496,-73.351695,Pussy Willow Brook
2009,Pussy Willow 3,2,0.1111111111111111,41.129896,-73.34824,Pussy Willow Brook
2009,Pussy Willow 4,1,0.08333333333333333,41.136663,-73.34445,Pussy Willow Brook
2009,SG1,2,0.14285714285714285,41.162278,-73.368167,Saugatuck River
2009,Saugatuck 1,0,0,41.16748,-73.36647,Saugatuck River
2010,Hunt Club 1,9,0.375,41.14587,-73.30357,Sasco Brook
2010,Hunt Club 2,8,0.4444444444444444,41.14786,-73.30736,Sasco Brook
2010,Hunt Club 3,1,0.16666666666666666,41.14685,-73.30846,Sasco Brook
2010,Hunt Club 4,2,0.25,41.14649,-73.30862,Sasco Brook
