site_name,date,indicator,conc,river_name,year,date_no_year
Deadman 9,2018-06-14T00:00:00Z,e.coli,44,Deadman Brook,2018,06-14
New 0.5,2023-05-15T00:00:00Z,entero,20,Greens Farms Brook,2023,05-15
Poplar 2,2005-08-18T00:00:00Z,e.coli,44,Saugatuck River,2005,08-18
Sasco 8,2014-08-12T00:00:00Z,e.coli,44,Sasco Brook,2014,08-12
Sasco 7,2014-08-12T00:00:00Z,e.coli,44,Sasco Brook,2014,08-12
SG1,2009-07-23T00:00:00Z,e.coli,44,Saugatuck River,2009,07-23
Saugatuck 0.75,2018-08-21T00:00:00Z,e.coli,44,Saugatuck River,2018,08-21
Sasco 1,2014-08-25T00:00:00Z,e.coli,44,Sasco Brook,2014,08-25
SG1,2006-08-10T00:00:00Z,e.coli,44,Saugatuck River,2006,08-10
Sasco 9,1997-05-29T00:00:00Z,e.coli,44,Sasco Brook,1997,05-29
